geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
dji,Djibouti,2452.56,2509.7,2551.52,2605.15,2694.13,2757.58,2737.75,2754.85,2787.58,2793.94,2802.41,2801.98,2765.91
dma,Dominica,2984.52,2973.4,2989.49,2997.87,3013.26,3032.85,2987.41,2955.89,2929.5,2982.46,2953.7,3022.15,3012.71
dnk,Denmark,3408.86,3391.52,3395.83,3424.4,3433.29,3415.61,3423.87,3442.92,3574.12,3580.65,3595.89,3582.09,3592.18
dom,Dominican Republic,2602.65,2658.4,2693.09,2751.9,2822.1,2803.39,2897.09,2937.56,2999.13,3049.88,3100.02,3149.05,3228.44
dza,Algeria,3242.88,3349.66,3364.29,3442.4,3437.2,3424.97,3456.54,3394.88,3392.18,3478.44,3504.46,3499.14,3468.29
ecu,Ecuador,2611.03,2616.6,2609.47,2566.67,2613.85,2615.15,2547.52,2559.33,2546.6,2508.17,2539.7,2561.77,2548.96
egy,Egypt,3291.22,3249.94,3256.51,3209.2,3186.51,3188.2,3137.3,3149.77,3118.72,3138.77,3151.54,3115.37,3116.13
esp,Spain,3200.18,3219.84,3214.22,3237.76,3193.13,3220.66,3299.56,3319.3,3369.25,3372.22,3376.93,3401.04,3375.29
est,Estonia,3235.41,3222.39,3156.76,3180.78,3177.04,3133.68,3106.8,3104.53,3199.88,3253.16,3247.43,3251.94,3297.53
eth,Ethiopia,2212.51,2227.8,2278.23,2338.28,2374.37,2444.18,2457.97,2483.24,2449.81,2410.61,2456.81,2463.43,2480.74
fin,Finland,3158.23,3182.53,3256.33,3236.76,3231.98,3228.76,3258.84,3259.85,3308.56,3333.48,3352.99,3331.13,3377.7
fji,Fiji,2693.35,2735.85,2696.59,2699.01,2761.44,2735.63,2681.2,2723.65,2780.95,2823.31,2861,2896.95,2949.28
fra,France,3556.77,3542.42,3507.08,3515.62,3482.93,3469.96,3512.84,3518.57,3508.95,3535.27,3566.26,3577.25,3595.02
fsm,"Micronesia, Fed. Sts.",,,,,,,,,,2761.46,2749.98,2763.78,2755.05
gab,Gabon,2705.8,2753.18,2772.33,2756.85,2755.63,2752.67,2678.39,2632.21,2654.87,2605.18,2618.43,2585.62,2551.79
gbr,UK,3319.82,3336.02,3314.22,3337.34,3356.49,3373.73,3359.4,3387,3343.97,3379.3,3374.61,3347.86,3355.3
geo,Georgia,2809.48,2825.43,2838.41,2848.03,2867.49,2948.21,2861.67,2862.2,2978.17,3057.28,3044.89,3046.52,3105.96
gha,Ghana,2930.8,2903.16,2894.23,2871.05,2862.02,2797.17,2775.1,2868.03,2950.33,3010.95,3042.23,3113.59,3102.4
